Date,Open,High,Low,Close,Adj Close,Volume
2018-09-07,6515.419922,6549.390137,6345.479980,6411.779785,6411.779785,344487244
2018-09-08,6413.120117,6480.569824,6134.759766,6200.160156,6200.160156,317380272
2018-09-09,6200.229980,6451.250000,6161.830078,6249.069824,6249.069824,244400344
2018-09-10,6249.069824,6371.419922,6247.640137,6324.430176,6324.430176,320435279
2018-09-11,6324.430176,6415.509766,6199.189941,6295.540039,6295.540039,324512939
2018-09-12,6295.540039,6357.890137,6208.279785,6337.109863,6337.109863,332537236
2018-09-13,6337.080078,6534.890137,6337.080078,6492.000000,6492.000000,425090869
2018-09-14,6492.169922,6591.589844,6393.839844,6486.009766,6486.009766,377989402
2018-09-15,6485.390137,6573.189941,6473.470215,6522.080078,6522.080078,208349557
2018-09-16,6522.680176,6525.049805,6404.310059,6502.439941,6502.439941,200545603
2018-09-17,6502.439941,6538.819824,6216.830078,6261.479980,6261.479980,399675966
2018-09-18,6261.330078,6393.390137,6238.250000,6346.439941,6346.439941,348485895
2018-09-19,6346.439941,6522.899902,6131.020020,6398.799805,6398.799805,452379323
2018-09-20,6398.830078,6551.930176,6361.330078,6505.899902,6505.899902,301619960
2018-09-21,6505.970215,6785.220215,6501.009766,6762.060059,6762.060059,569642976
2018-09-22,6762.069824,6834.490234,6633.009766,6716.600098,6716.600098,261159308
2018-09-23,6716.600098,6768.560059,6663.899902,6702.700195,6702.700195,169080003
2018-09-24,6702.729980,6717.600098,6557.819824,6583.529785,6583.529785,324660682
2018-09-25,6583.529785,6583.540039,6333.209961,6437.740234,6437.740234,420279170
2018-09-26,6437.740234,6543.919922,6383.160156,6462.600098,6462.600098,264402806
2018-09-27,6462.600098,6733.939941,6434.759766,6686.129883,6686.129883,345096700
2018-09-28,6686.129883,6806.100098,6545.410156,6635.379883,6635.379883,497340510
2018-09-29,6635.399902,6635.419922,6474.229980,6603.750000,6603.750000,245055396
2018-09-30,6603.750000,6741.959961,6543.680176,6623.709961,6623.709961,174302164
2018-10-01,6623.819824,6662.600098,6510.540039,6594.979980,6594.979980,256959931
2018-10-02,6594.979980,6618.950195,6478.040039,6525.470215,6525.470215,267166277
2018-10-03,6525.459961,6537.069824,6428.979980,6492.259766,6492.259766,306385346
2018-10-04,6492.609863,6622.319824,6486.859863,6579.790039,6579.790039,277614018
2018-10-05,6580.000000,6683.549805,6546.979980,6632.870117,6632.870117,262562344
2018-10-06,6632.879883,6637.080078,6563.250000,6589.939941,6589.939941,162722103
2018-10-07,6589.939941,6622.490234,6535.020020,6601.149902,6601.149902,179378859
2018-10-08,6601.459961,6698.310059,6565.009766,6650.069824,6650.069824,313507433
